opening,bracket,total_games,total_human_moves,optimal_path_length,fitness,precision,f1_score,jaccard_index,edge_coverage_pct,move_conformance_pct,deviation_rate,missing_optimal_edges,game_adherence_rate,avg_partial_adherence,std_partial_adherence,human_complexity,optimal_complexity,complexity_ratio,common_edges,human_only_edges,optimal_only_edges
Philidor_Defense,Low Elo,2320,11707,10,0.5555555555555556,0.19230769230769232,0.28571428571428575,0.16666666666666666,55.55555555555556,63.389425130263945,0.8076923076923077,4,0.0,0.41314655172413794,0.033790876729945296,26,9,2.888888888888889,5,21,4
Caro-Kann_Defense,Low Elo,2164,10341,10,0.5555555555555556,0.1724137931034483,0.26315789473684215,0.15151515151515152,55.55555555555556,48.931437965380525,0.8275862068965517,4,0.5083179297597042,0.3296672828096119,0.12570569824391517,29,9,3.2222222222222223,5,24,4
Caro-Kann_Defense,High Elo,2516,13640,10,0.4444444444444444,0.15384615384615385,0.2285714285714286,0.12903225806451613,44.44444444444444,37.47800586510264,0.8461538461538461,5,0.11923688394276628,0.2972575516693164,0.10994122780717035,26,9,2.888888888888889,4,22,5
Pirc_Defense,Low Elo,2000,6992,10,0.6666666666666666,0.2608695652173913,0.37500000000000006,0.23076923076923078,66.66666666666666,47.92620137299771,0.7391304347826086,3,0.1,0.24765000000000004,0.07137560857884155,23,9,2.5555555555555554,6,17,3
Pirc_Defense,High Elo,1891,6939,10,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.24,66.66666666666666,42.59979824182159,0.7272727272727273,3,0.10576414595452141,0.23484928609201483,0.06987725147109797,22,9,2.4444444444444446,6,16,3
Van't_Kruijs_Opening,Low Elo,2775,4963,10,0.3333333333333333,0.125,0.18181818181818182,0.1,33.33333333333333,36.12734233326617,0.875,6,0.0,0.161981981981982,0.0697462559274085,24,9,2.6666666666666665,3,21,6
Van't_Kruijs_Opening,High Elo,1774,2492,10,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.09523809523809523,22.22222222222222,18.980738362760835,0.8571428571428571,7,0.05636978579481398,0.1285231116121759,0.06629479852447076,14,9,1.5555555555555556,2,12,7
Queen's_Pawn_Game,Low Elo,3826,12881,10,0.2222222222222222,0.0425531914893617,0.07142857142857142,0.037037037037037035,22.22222222222222,6.769660740625729,0.9574468085106383,7,0.0,0.1227391531625719,0.05254051202432674,47,9,5.222222222222222,2,45,7
Queen's_Pawn_Game,High Elo,3544,13437,10,0.2222222222222222,0.04081632653061224,0.06896551724137931,0.03571428571428571,22.22222222222222,7.114683337054402,0.9591836734693877,7,0.0,0.1267776523702032,0.05260912766074463,49,9,5.444444444444445,2,47,7
Queen's_Pawn_Game_Accelerated_London_System,Low Elo,2580,13547,10,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.16666666666666666,66.66666666666666,49.81176644275485,0.8181818181818182,3,0.07751937984496124,0.3344573643410852,0.07993878547057534,33,9,3.6666666666666665,6,27,3
Horwitz_Defense,Low Elo,1903,5628,10,0.3333333333333333,0.13636363636363635,0.1935483870967742,0.10714285714285714,33.33333333333333,41.80881307746979,0.8636363636363636,6,0.0,0.22212296374146087,0.05576875546786311,22,9,2.4444444444444446,3,19,6
Horwitz_Defense,High Elo,2806,11354,10,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.15384615384615385,66.66666666666666,38.32129645939757,0.8333333333333334,3,0.21382751247327159,0.24066286528866712,0.08591125530750574,36,9,4.0,6,30,3
Scandinavian_Defense_Mieses-Kotroc_Variation,Low Elo,1751,9171,10,0.4444444444444444,0.25,0.32,0.19047619047619047,44.44444444444444,69.45807436484571,0.75,5,0.0,0.46373500856653344,0.048076496749214714,16,9,1.7777777777777777,4,12,5
Scandinavian_Defense,Low Elo,3624,12978,10,0.3333333333333333,0.07317073170731707,0.12,0.06382978723404255,33.33333333333333,36.04561565726615,0.926829268292683,6,0.0,0.22850441501103758,0.06247625140273463,41,9,4.555555555555555,3,38,6
Scandinavian_Defense,High Elo,1445,4273,10,0.3333333333333333,0.1875,0.24000000000000005,0.13636363636363635,33.33333333333333,49.19260472735783,0.8125,6,0.0,0.24678200692041524,0.07749332522737555,16,9,1.7777777777777777,3,13,6
Bishop's_Opening,Low Elo,1971,8158,10,0.6666666666666666,0.3,0.41379310344827586,0.2608695652173913,66.66666666666666,57.91860750183868,0.7,3,0.0,0.32196854388635204,0.055625961702087154,20,9,2.2222222222222223,6,14,3
Benoni_Defense_Old_Benoni,High Elo,1887,7429,10,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.09090909090909091,33.33333333333333,29.640597657827435,0.8888888888888888,6,0.0,0.21266560678325389,0.04044854496208328,27,9,3.0,3,24,6
Queen's_Pawn_Game_Modern_Defense,High Elo,1380,4818,10,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.125,33.33333333333333,33.623910336239106,0.8333333333333334,6,0.0,0.21666666666666667,0.06469922981121376,18,9,2.0,3,15,6
Modern_Defense,High Elo,1972,7810,10,0.6666666666666666,0.25,0.36363636363636365,0.2222222222222222,66.66666666666666,51.17797695262484,0.75,3,0.6085192697768762,0.2775862068965518,0.1449790331501697,24,9,2.6666666666666665,6,18,3
Indian_Defense,High Elo,1900,7505,10,0.4444444444444444,0.13793103448275862,0.21052631578947367,0.11764705882352941,44.44444444444444,35.34976682211859,0.8620689655172413,5,0.0,0.23184210526315796,0.05957548344031137,29,9,3.2222222222222223,4,25,5
