OpeningName,Bracket,0-1,1-0,1/2-1/2,Total,WinRate
Benoni Defense: Old Benoni,High Elo,885,919,83,1887,0.48701642819289875
Bishop's Opening,Low Elo,852,1064,55,1971,0.5398274987316083
Caro-Kann Defense,High Elo,1224,1210,82,2516,0.4809220985691574
Caro-Kann Defense,Low Elo,1085,1019,60,2164,0.47088724584103514
Horwitz Defense,High Elo,1244,1438,124,2806,0.5124732715609408
Horwitz Defense,Low Elo,883,958,62,1903,0.5034156594850236
Indian Defense,High Elo,806,1014,80,1900,0.5336842105263158
Modern Defense,High Elo,927,968,77,1972,0.4908722109533469
Philidor Defense,Low Elo,1053,1187,80,2320,0.5116379310344827
Pirc Defense,High Elo,908,920,63,1891,0.4865150713907985
Pirc Defense,Low Elo,912,1028,60,2000,0.514
Queen's Pawn Game,High Elo,1602,1770,172,3544,0.4994356659142212
Queen's Pawn Game,Low Elo,1867,1818,141,3826,0.47516989022477785
Queen's Pawn Game: Accelerated London System,Low Elo,1147,1338,95,2580,0.5186046511627908
Queen's Pawn Game: Modern Defense,High Elo,672,651,57,1380,0.4717391304347826
Scandinavian Defense,High Elo,679,726,40,1445,0.5024221453287198
Scandinavian Defense,Low Elo,1750,1753,121,3624,0.483719646799117
Scandinavian Defense: Mieses-Kotroc Variation,Low Elo,775,927,49,1751,0.5294117647058824
Van't Kruijs Opening,High Elo,838,865,71,1774,0.48759864712514095
Van't Kruijs Opening,Low Elo,1412,1282,81,2775,0.461981981981982
